usrname,七夕超火,超级火箭,七夕火箭,火箭,七夕飞机,飞机,七夕办卡,办卡,金锄头,冰棍,小飞碟,鹊桥飞星,F4,有排面,七夕鹊羽,打call,帐篷,好人卡,没排面,药丸,赞,总计
中憬珠宝569349,,,,,,200.0,,,,,,,,,,,,,,,,200.0
锦衣卫灰烬,,,,,,200.0,,,,,,,,,,,,,,,,200.0
隔壁少年梦,,,,,,200.0,,,,,,,,,,,,,,,,200.0
银三公子,,,,,,200.0,,,,,,,,,,,,,,,,200.0
我射的很累,,,,,100.0,,,,96.0,,,,3.6,,,,,,,,,199.6
安静看直播不说话l,,,,,,100.0,,,66.0,,,,21.60000000000001,,,,,8.599999999999985,,,0.6,196.8
汇雅居佛珠批发,,,,,,100.0,,,54.0,,,,5.3999999999999995,,,,0.6000000000000001,34.00000000000021,,,,194.00000000000023
F4丶柳州蓝氏,,,,,,,,6.0,120.0,3.0,4.0,,49.800000000000075,,,,4.200000000000001,4.000000000000002,,0.9999999999999999,,192.00000000000006
窗外那张惨白的脸,,,,,,,,102.0,6.0,6.0,11.0,,27.600000000000023,,,,0.4,10.999999999999977,,,21.00000000000003,185.00000000000003
F4丶道具组组长,,,,,,,,12.0,72.0,,,,27.600000000000023,,,29.599999999999927,,38.70000000000028,0.2,,4.000000000000002,184.1000000000002
hello我是亮亮现在,,,,,,100.0,,,84.0,,,,,,,,,,,,,184.0
F4丶云烟成雨,,,,,,,,,156.0,,,,25.80000000000002,,,,,0.2,,,,182.0
F4丶空军霸主,,,,,,,48.0,,96.0,,,,7.199999999999998,3.800000000000001,,,,24.200000000000074,0.1,,,179.30000000000007
T不能说的秘密,,,,,,,,,66.0,,,,4.2,,,4.000000000000001,,71.40000000000022,,,30.20000000000016,175.80000000000038
锦衣卫丶阿泽西,,,,,,100.0,,,18.0,,45.0,,0.6,,,,,10.399999999999979,,,,173.99999999999997
陈小姐喂1908吃屎,,,,,,100.0,,6.0,48.0,,2.0,,,,,,1.9999999999999998,13.999999999999966,,,,171.99999999999997
F4丶妹仔搓憋么,,,,,,100.0,,,48.0,,4.0,,12.599999999999996,,,,,5.399999999999997,,,,170.0
海蓝色尾巴,,,,,,100.0,12.0,18.0,30.0,,8.0,,,,,,,,,,,168.0
随微风拂面,,,,,,,,6.0,126.0,,4.0,,24.000000000000014,,,1.7999999999999998,,5.099999999999998,,,0.30000000000000004,167.20000000000002
狂暴丶风雨,,,,,,100.0,,48.0,6.0,2.0,10.0,,,,,,,,,,,166.0
F4丶Allez,,,,,,,,,60.0,,,,99.59999999999977,,,,,4.6,,,,164.19999999999976
F4空军代言人,,,,,,100.0,,,54.0,,7.0,,,,,,,,,,,161.0
锦衣卫丶Clearlove,,,,,,,,,36.0,,1.0,,75.6,,,,,45.00000000000037,,,,157.60000000000036
F4丶一菊发一辈子,,,,,,,,,156.0,,,,,,,,,0.7999999999999999,,,0.1,156.9
晚上睡不着k,,,,,,,,,132.0,,1.0,,,,,,,20.000000000000014,,,,153.0
F4丶吴亦凡,,,,,,,,,96.0,,,,49.800000000000075,,,,0.2,,,,4.000000000000002,150.00000000000006
乐安散人,,,,,,100.0,,,48.0,,,,,,,,,,,,,148.0
钟灵毓秀丶丿,,,,,,,,,90.0,,,,9.599999999999998,,,,,47.400000000000404,,,0.2,147.2000000000004
银翼魔术师灬龙爷,,,,,,100.0,,18.0,24.0,,,,,,,,,0.7999999999999999,,,0.9999999999999999,143.8
F4丶人均秃头,,,,,,100.0,,,18.0,,2.0,,,,,,,23.000000000000057,,,,143.00000000000006
F4丶人生如戏,,,,,,,,,114.0,,,,27.00000000000002,,,1.9999999999999998,,,,,,143.00000000000003
F4丶兰军51615280,,,,,,100.0,,6.0,18.0,,7.0,,1.2,,,1.0,,6.299999999999994,,,3.5000000000000018,142.99999999999997
AA蕊馨,,,,,100.0,,36.0,,,,,1.0,,,,,,,,,,137.0
F4丶风好大,,,,,,100.0,,,30.0,,,,0.6,,,,0.2,4.100000000000001,,,,134.89999999999998
天目小子,,,,,100.0,,,,18.0,,2.0,,10.799999999999997,,,,,3.4000000000000017,,,,134.20000000000002
铁路后生仔里,,,,,,100.0,6.0,,18.0,,,,2.4,,,1.0,,5.899999999999995,,,0.1,133.4
紧衣卫之做个疯子,,,,,,100.0,,,18.0,,4.0,,5.999999999999999,,,1.5999999999999999,,0.9999999999999999,,,1.2,131.79999999999998
